Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.186196804,99.98438,1235.15625,4.10625,291.25,0
1.241165638,99.98438,847.875,4.106875,280.625,0
2.119845867,99.97266,677.25,4.105625,260.625,0
3.174729347,99.96094,561.75,4.1025,302.1875,0
4.229567051,99.96094,466.03125,4.1025,311.875,0
5.108442307,99.94922,420.9375,4.105,286.875,0
6.163463593,99.9375,383.34375,4.101875,257.5,0
7.218146801,99.9375,355.96875,4.104375,286.25,0
8.097217083,99.92578,334.96875,4.1025,280,0
9.151995182,99.91406,313.78125,4.10125,275.9375,0
10.206676483,99.91406,297.5625,4.103125,306.5625,0
11.086879253,99.90234,286.3125,4.09375,306.25,0
12.140420914,99.88672,273.28125,4.098125,286.25,0
13.195319176,99.875,258.65625,4.095625,311.25,0
14.250089169,99.875,247.6875,4.0875,315.625,0
15.129375458,99.86328,240.375,4.09,300,0
16.185082436,99.85156,234.28125,4.093125,287.5,0
17.239029408,99.83984,227.8125,4.093125,305.9375,0
