Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.186539173,100,1134.9375,4.105,279.375,0
1.241191864,99.98438,786.75,4.0875,384.6875,0
2.120502949,99.97266,647.25,4.105625,280.625,0
3.174753666,99.97266,541.875,4.1025,280,0
4.229528904,99.96094,467.90625,4.100625,272.5,0
5.108416081,99.94922,422.53125,4.10125,283.75,0
6.163465977,99.94922,380.53125,4.108125,262.1875,0
7.218130112,99.9375,354.5625,4.103125,271.25,0
8.105446339,99.92578,336,4.10375,275.9375,0
9.151877403,99.92578,319.03125,4.101875,267.8125,0
10.206665039,99.91406,304.78125,4.10625,264.375,0
11.085567951,99.91406,295.21875,4.099375,245.9375,0
12.140415669,99.90234,285.09375,4.103125,273.125,0
13.195383549,99.88672,276.09375,4.10375,288.4375,0
14.250252247,99.875,268.21875,4.101875,287.8125,0
15.129045963,99.875,262.59375,4.104375,260.3125,0
16.183825970,99.86328,256.3125,4.0975,299.0625,0
17.238493443,99.86328,251.625,4.099375,275.9375,0
18.117821217,99.85156,247.5,4.103125,240.3125,0
19.172762394,99.83984,244.03125,4.099375,238.75,0
20.227227688,99.83984,240.09375,4.103125,284.375,0
21.106852531,99.82813,236.625,4.103125,284.375,0
22.165311813,99.81641,234.46875,4.100625,251.25,0
23.216869831,99.81641,231.75,4.095,243.4375,0
24.094792843,99.80469,229.40625,4.098125,249.6875,0
25.149731636,99.78906,227.625,4.099375,304.6875,0
26.204237938,99.78906,225.75,4.096875,298.75,0
27.083290577,99.77734,224.15625,4.09875,251.25,0
28.138687134,99.76563,222.65625,4.095,245,0
29.192879677,99.76563,221.25,4.09625,268.4375,0
30.247895718,99.75391,219.28125,4.09625,278.75,0
31.126992226,99.74219,217.59375,4.095,253.75,0
32.181446075,99.74219,217.125,4.08875,250.9375,0
33.236269474,99.73047,215.8125,4.099375,267.8125,0
34.115373135,99.71875,213.9375,4.094375,238.75,0
35.170126438,99.71875,213.5625,4.096875,242.5,0
36.224718094,99.70703,213.1875,4.094375,296.25,0
37.103876591,99.69141,213.09375,4.09375,251.5625,0
38.159095764,99.69141,212.0625,4.095,249.0625,0
39.213371277,99.67969,211.3125,4.095625,256.5625,0
40.092399597,99.66797,211.21875,4.093125,255,0
41.147100925,99.66797,210.9375,4.09375,253.4375,0
42.202110291,99.65625,210.65625,4.096875,256.25,0
43.081763268,99.65625,210.1875,4.0975,295,0
44.137507916,99.64453,210.46875,4.095625,227.5,0
45.190417767,99.63281,209.53125,4.093125,280.3125,0
46.246557713,99.62109,208.59375,4.098125,271.875,0
47.124638081,99.62109,207.9375,4.096875,257.5,0
48.179051876,99.60938,207.5625,4.1,256.5625,0
