Time (s),Altitude (m)
0.250175476,70.12298
1.248402596,69.95133
2.249109745,70.05862
3.249818802,70.09629
4.250530243,70.20985
5.248766422,70.32865
6.249481678,70.25591
7.250198364,70.02303
8.248440266,69.91889
9.249159813,69.90738
10.249882221,69.94872
11.250605583,69.95133
12.248854160,69.91104
13.249580383,69.87389
14.250308991,69.79487
15.248562336,69.83045
16.249293327,69.98064
17.250027180,70.04343
18.248284340,70.05233
19.249021053,70.02146
20.249759197,69.92622
21.250498772,69.88068
22.248763084,69.91941
23.249506474,69.89429
24.250249863,69.84982
25.248519421,69.90109
26.249266625,69.77446
27.250016213,69.85766
28.248289585,69.98012
29.249042034,69.92673
30.249796391,69.7441
31.248075008,69.62741
32.248832226,69.67346
33.249590397,69.7169
34.250350952,69.76347
35.248636246,69.74044
36.249400139,69.80219
37.250165463,69.94035
38.248455048,70.12193
39.249223709,70.21666
40.249993324,70.202
41.248287678,70.36005
42.249061585,70.38151
43.249836445,70.39458
44.248135567,70.49559
45.248913765,70.43907
46.249693871,70.33755
47.247997761,70.28521
48.248780727,70.24805
