Time (s),Data
0.718887329,$GPGGA,235943.800,,,,,0,0,,,M,,M,,*4A\r\n
0.759772301,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
0.804957390,$GPRMC,235943.800,V,,,,,0.00,0.00,050180,,,N*43\r\n
0.840452194,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
1.759338379,$GPGGA,235944.799,,,,,0,0,,,M,,M,,*42\r\n
1.759442330,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
1.803581715,$GPRMC,235944.799,V,,,,,0.00,0.00,050180,,,N*4B\r\n
1.840705395,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
2.723527908,$GPGGA,235945.799,,,,,0,0,,,M,,M,,*43\r\n
2.749970913,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
2.801721096,$GPRMC,235945.799,V,,,,,0.00,0.00,050180,,,N*4A\r\n
2.842646599,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
3.723659039,$GPGGA,235946.799,,,,,0,0,,,M,,M,,*40\r\n
3.750273228,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
3.771094322,$GPGSV,1,1,00*79\r\n
3.820938111,$GPRMC,235946.799,V,,,,,0.00,0.00,050180,,,N*49\r\n
3.860003472,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
4.718450070,$GPGGA,235947.799,,,,,0,0,,,M,,M,,*41\r\n
4.749955177,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
4.802545071,$GPRMC,235947.799,V,,,,,0.00,0.00,050180,,,N*48\r\n
4.840382099,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
5.737381935,$GPGGA,235948.799,,,,,0,0,,,M,,M,,*4E\r\n
5.752935410,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
5.803456307,$GPRMC,235948.799,V,,,,,0.00,0.00,050180,,,N*47\r\n
5.840931416,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
6.718453884,$GPGGA,235949.799,,,,,0,0,,,M,,M,,*4F\r\n
6.759232521,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
6.805389404,$GPRMC,235949.799,V,,,,,0.00,0.00,050180,,,N*46\r\n
6.842363835,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
7.718469620,$GPGGA,235950.800,,,,,0,0,,,M,,M,,*48\r\n
7.752896786,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
7.811789513,$GPRMC,235950.800,V,,,,,0.00,0.00,050180,,,N*41\r\n
7.842298985,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
8.718543530,$GPGGA,235951.800,,,,,0,0,,,M,,M,,*49\r\n
8.802758694,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
8.802846432,$GPGSV,1,1,00*79\r\n
8.821031094,$GPRMC,235951.800,V,,,,,0.00,0.00,050180,,,N*40\r\n
8.859568119,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
9.718571186,$GPGGA,235952.800,,,,,0,0,,,M,,M,,*4A\r\n
9.750023842,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
9.807655811,$GPRMC,235952.800,V,,,,,0.00,0.00,050180,,,N*43\r\n
9.840931893,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
10.718411923,$GPGGA,235953.800,,,,,0,0,,,M,,M,,*4B\r\n
10.749977589,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
10.801691532,$GPRMC,235953.800,V,,,,,0.00,0.00,050180,,,N*42\r\n
10.841015816,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
11.718348026,$GPGGA,235954.800,,,,,0,0,,,M,,M,,*4C\r\n
11.752449989,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
11.810505390,$GPRMC,235954.800,V,,,,,0.00,0.00,050180,,,N*45\r\n
11.840334416,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
12.720011234,$GPGGA,235955.800,,,,,0,0,,,M,,M,,*4D\r\n
12.750015259,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
12.802798748,$GPRMC,235955.800,V,,,,,0.00,0.00,050180,,,N*44\r\n
12.840534210,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
13.719707966,$GPGGA,235956.800,,,,,0,0,,,M,,M,,*4E\r\n
13.750543595,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
13.769128323,$GPGSV,1,1,00*79\r\n
13.820898056,$GPRMC,235956.800,V,,,,,0.00,0.00,050180,,,N*47\r\n
13.859576702,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
14.719724178,$GPGGA,235957.800,,,,,0,0,,,M,,M,,*4F\r\n
14.749959946,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
14.802238465,$GPRMC,235957.800,V,,,,,0.00,0.00,050180,,,N*46\r\n
14.841097355,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
15.718364239,$GPGGA,235958.800,,,,,0,0,,,M,,M,,*40\r\n
15.750077248,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
15.801586628,$GPRMC,235958.800,V,,,,,0.00,0.00,050180,,,N*49\r\n
15.842613697,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
16.718674183,$GPGGA,235959.800,,,,,0,0,,,M,,M,,*41\r\n
16.750394345,$GPGSA,A,1,,,,,,,,,,,,,,,*1E\r\n
16.804731369,$GPRMC,235959.800,V,,,,,0.00,0.00,050180,,,N*48\r\n
16.840389729,$GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32\r\n
17.721870423,$GPGGA,000000.800,,,,,0,0,,,M,,M,,*40\r\n
