Time (s),Roll (deg),Pitch (deg),Yaw (deg)
2.219347000,0.1545061,-0.04755602,-162.2504
2.239162922,0.1556359,-0.04716278,-162.2467
2.258978367,0.1583665,-0.04516552,-162.2429
2.278793812,0.1583656,-0.04408092,-162.242
2.298609734,0.1579713,-0.04460869,-162.2419
2.318425179,0.1593732,-0.04445354,-162.2423
2.338241100,0.1588754,-0.04292697,-162.2546
2.360533714,0.1577122,-0.04169373,-162.2699
2.380349636,0.1571445,-0.0415169,-162.2644
2.400164604,0.1591462,-0.04051313,-162.2549
2.419980526,0.1597871,-0.04023521,-162.2484
2.439795971,0.1596571,-0.039393,-162.2522
2.459611893,0.1616694,-0.03876122,-162.2545
2.479427338,0.1624663,-0.03852418,-162.2537
2.499242783,0.1627273,-0.03706511,-162.2527
2.519058704,0.1623005,-0.0337309,-162.2511
2.538874626,0.1635862,-0.03428463,-162.2496
2.558689594,0.1638268,-0.03202819,-162.246
2.578505516,0.1642292,-0.02872384,-162.2486
2.598321438,0.1637248,-0.02884757,-162.2521
2.620614052,0.1657211,-0.02820058,-162.2567
2.640429497,0.1650004,-0.02845309,-162.2602
2.660245419,0.1656847,-0.02679485,-162.2626
2.680061340,0.1657242,-0.02568079,-162.2609
2.699876309,0.1676678,-0.02500777,-162.2573
2.719692230,0.169041,-0.02437562,-162.2526
2.739508152,0.1699525,-0.02436604,-162.2611
2.759324074,0.1678756,-0.02418021,-162.2706
2.779139519,0.1687529,-0.0243991,-162.276
2.798954964,0.1698446,-0.02517237,-162.2793
2.818770409,0.1697116,-0.025159,-162.2825
2.838586331,0.17208,-0.02426752,-162.2749
2.858402252,0.1724321,-0.02490323,-162.2669
2.878218174,0.1740061,-0.02518108,-162.2595
2.900510311,0.1731734,-0.02488681,-162.2568
2.920326233,0.1747771,-0.02244827,-162.2528
2.940141678,0.1742631,-0.02136356,-162.2444
2.959957123,0.174623,-0.02018761,-162.2368
2.979773045,0.1767822,-0.02072514,-162.2301
2.999588966,0.176172,-0.02096321,-162.2248
3.019404888,0.1776321,-0.0207659,-162.2195
3.039219856,0.1796833,-0.01929555,-162.2231
3.059035778,0.1802271,-0.02025916,-162.228
3.078851700,0.1825164,-0.02204907,-162.2319
3.098667145,0.1827083,-0.02184862,-162.2365
3.118483067,0.1844424,-0.01998824,-162.2412
3.138298988,0.185664,-0.02033385,-162.2454
3.160591126,0.1862751,-0.01971352,-162.2498
