Time (s),W,X,Y,Z
2.026150703,0.9949793,-0.03368326,0.07422315,-0.0004530208
2.045966625,0.9949784,-0.0336903,0.07423374,-0.0004315831
2.065782547,0.9949785,-0.03368453,0.07423332,-0.000393325
2.085597515,0.9949765,-0.03372956,0.07424132,-0.0003536982
2.105413437,0.9949771,-0.03380553,0.07419904,-0.0002671117
2.125229359,0.9949766,-0.03393455,0.07414546,-0.0001363593
2.147521973,0.9949713,-0.03420028,0.0740957,0.0001062146
2.167337418,0.9949599,-0.03470855,0.07401121,0.000383946
2.187153339,0.9949441,-0.03533745,0.07392291,0.0007753579
2.206969261,0.9949317,-0.0357987,0.07386123,0.001294066
2.226785183,0.9949216,-0.0361991,0.07378917,0.001844774
2.246600628,0.9949071,-0.03667532,0.07373174,0.00243684
2.266416073,0.9948909,-0.03726369,0.07363395,0.003039396
2.286231995,0.9948727,-0.03798117,0.07348721,0.003595039
2.306047440,0.9948401,-0.03930692,0.07321558,0.003903965
2.325863361,0.9947965,-0.04109245,0.07282199,0.00402835
2.345679283,0.9947527,-0.04258148,0.07255252,0.004209461
2.365495205,0.9947209,-0.04361191,0.07236435,0.004397895
2.385310650,0.9946902,-0.0446082,0.07217271,0.004498659
2.407603264,0.9946663,-0.04535418,0.0720318,0.004591171
2.427419186,0.9946554,-0.0456099,0.07201545,0.004665123
2.447235108,0.9946515,-0.04563187,0.0720541,0.004685125
2.467050552,0.9946602,-0.04536084,0.07210556,0.00468338
2.486865997,0.9946806,-0.04479679,0.07217731,0.004672688
2.506681442,0.9947103,-0.04391119,0.07231447,0.004644721
2.526497364,0.994747,-0.04270349,0.07253372,0.004607244
2.546313286,0.9947869,-0.0413253,0.07278876,0.004540785
2.566129208,0.9948256,-0.03981724,0.07310453,0.004472744
2.585945130,0.9948608,-0.0382998,0.07343999,0.004418232
2.605760574,0.9948868,-0.0375369,0.07349375,0.004168392
2.625576019,0.9949082,-0.03702772,0.0734765,0.003941027
2.645391464,0.9949199,-0.03654775,0.07356639,0.003794208
2.665207386,0.9949304,-0.0361336,0.07363354,0.00367465
2.687500477,0.9949411,-0.03587271,0.07362577,0.003517403
2.707315922,0.9949489,-0.03566978,0.07362363,0.003414028
2.727131367,0.9949579,-0.03541476,0.07362907,0.003327234
2.746947289,0.9949679,-0.03516606,0.07361866,0.003193289
2.766763210,0.9949788,-0.03494342,0.07358264,0.003042877
2.786579132,0.994989,-0.03464206,0.07359178,0.002959692
2.806395054,0.9950008,-0.0344015,0.07355031,0.002836248
2.826210499,0.9950115,-0.03418174,0.07351262,0.002720154
2.846026421,0.9950236,-0.03389649,0.07348399,0.00262248
2.865841389,0.9950329,-0.03364084,0.07347808,0.002525692
2.885657311,0.995041,-0.03335362,0.07350085,0.002500526
2.905473232,0.9950548,-0.03278536,0.07357116,0.002480562
2.925289154,0.9950595,-0.03268835,0.0735557,0.00233517
2.947581291,0.9950654,-0.0324795,0.07357121,0.002205536
2.967397213,0.9950733,-0.03230748,0.07354261,0.002101687
2.987213135,0.9950802,-0.03217123,0.07351326,0.002000434
3.007029057,0.9950842,-0.03208789,0.0734991,0.001910323
3.026844502,0.9950904,-0.03194409,0.07347763,0.00181938
3.046660423,0.9951013,-0.03175912,0.07341471,0.001706344
3.066476345,0.9951121,-0.03154689,0.07336239,0.001586813
3.086292267,0.9951228,-0.0313239,0.07331588,0.001425841
3.106108189,0.9951343,-0.03109562,0.07325899,0.001262137
3.125923157,0.995145,-0.03086363,0.07321422,0.001105042
3.145739079,0.9951513,-0.03070011,0.07319941,0.001000193
3.165554524,0.9951539,-0.03063662,0.07319187,0.0009520857
3.185370445,0.995154,-0.03059863,0.07320654,0.000907836
3.205186367,0.9951559,-0.0305258,0.07321032,0.0008316133
3.227478981,0.9951611,-0.03042304,0.07318632,0.000707166
3.247294426,0.9951687,-0.03026105,0.07315093,0.0005452367
3.267110348,0.9951788,-0.0300585,0.07309682,0.0003806661
3.286926270,0.9951882,-0.02984363,0.07305706,0.0002234976
3.306742191,0.9951947,-0.02966247,0.07304238,9.24375E-05
3.326558113,0.9951989,-0.02955288,0.07303049,8.846819E-06
3.346373558,0.9951988,-0.02951216,0.07304811,-1.804857E-05
3.366189480,0.9951983,-0.02950163,0.07305926,1.326571E-06
3.386005402,0.9951955,-0.02953657,0.07308334,7.123349E-05
3.405821323,0.9951902,-0.02964669,0.07311083,0.0001714241
3.425636292,0.9951816,-0.02977152,0.07317652,0.0002691192
3.445452213,0.9951742,-0.02983989,0.07324948,0.0003358531
3.465267658,0.9951693,-0.02983913,0.07331529,0.0003460698
3.487561226,0.9951707,-0.02976182,0.07333003,0.0003201744
3.507376671,0.995175,-0.02964395,0.07331802,0.0002593948
3.527192593,0.9951783,-0.02948419,0.07333717,0.0001517394
3.547007561,0.9951842,-0.02926612,0.07334527,-1.438566E-05
3.566823483,0.99519,-0.02901819,0.0733657,-0.0002372663
3.586639404,0.995212,-0.02848799,0.07327275,-0.0004240828
3.606455326,0.9952548,-0.02754373,0.07305411,-0.0004976807
3.626271248,0.9953037,-0.0264632,0.07278452,-0.0005410381
3.646086693,0.9953418,-0.02559172,0.07257497,-0.000592199
3.665902615,0.9953721,-0.02490661,0.07239687,-0.0006349921
3.685718537,0.9953962,-0.02434551,0.07225619,-0.0006539208
3.705534458,0.9954135,-0.02392528,0.07215861,-0.0006801864
3.725349903,0.9954247,-0.02365496,0.07209133,-0.000681648
3.745165825,0.9954342,-0.02339727,0.07204548,-0.0006730859
3.767458439,0.9954372,-0.02331184,0.07203252,-0.0006772882
3.787274361,0.9954301,-0.02343483,0.07208952,-0.0007369157
3.807089806,0.995427,-0.02351161,0.07210665,-0.0007354301
3.826905728,0.9954095,-0.02381665,0.07224524,-0.0009515549
3.846721649,0.9953562,-0.02490826,0.07260541,-0.001293728
3.866537571,0.9953139,-0.02575489,0.07288768,-0.001387147
3.886353016,0.9953132,-0.02591231,0.0728421,-0.001287211
3.906168938,0.9953188,-0.02579761,0.0728104,-0.001108566
3.925984860,0.9953365,-0.0255045,0.07267591,-0.0008484762
3.945800781,0.9953656,-0.02467595,0.07256708,-0.0003633531
3.965615750,0.9953709,-0.02400926,0.0727184,0.0002511298
3.985431671,0.9953629,-0.02317837,0.07308654,0.001205366
4.005247593,0.9953532,-0.02124463,0.07377991,0.00219136
4.027540684,0.9952676,-0.02056065,0.07509441,0.002836084
4.047356129,0.9952036,-0.01955824,0.07619057,0.003146923
4.067172050,0.9951466,-0.01893809,0.07709231,0.003017097
4.086987972,0.9951312,-0.01819233,0.07748354,0.002617213
4.106803894,0.9951704,-0.01764291,0.07711892,0.002208994
4.126619816,0.9952605,-0.01706962,0.07608351,0.002018618
4.146434784,0.9953868,-0.01647278,0.07455482,0.001730764
4.166250706,0.9955245,-0.01607142,0.07279591,0.001074777
4.186066151,0.9956378,-0.01581924,0.07129417,0.0001988681
4.205882072,0.9957386,-0.01595829,0.06983691,-0.0006869215
4.225697994,0.9958153,-0.01608165,0.06869366,-0.001474812
4.245513916,0.9958687,-0.01634003,0.06783051,-0.002241655
4.265329838,0.9959173,-0.01666469,0.06700569,-0.002988769
4.285145283,0.9959676,-0.01697622,0.0661323,-0.003808185
4.307438374,0.996021,-0.01738756,0.0651673,-0.004561419
4.327254295,0.996078,-0.01713054,0.06430101,-0.005315719
4.347070217,0.9961178,-0.01723533,0.063586,-0.006071179
4.366885185,0.9961507,-0.01735883,0.06296704,-0.006720902
4.386701107,0.9961674,-0.01785935,0.06250344,-0.007259591
4.406517029,0.9961897,-0.01799569,0.06208948,-0.007398359
4.426332951,0.9961961,-0.01824354,0.06193749,-0.007215164
4.446148396,0.9961734,-0.01860318,0.06224772,-0.006736168
4.465964317,0.9961267,-0.01906847,0.06292754,-0.005983703
4.485780239,0.996053,-0.01964026,0.06399635,-0.004984146
4.505596161,0.9959538,-0.01993717,0.06551123,-0.003799805
4.525411606,0.995818,-0.02007415,0.06756368,-0.002536696
4.545227528,0.9956461,-0.02018391,0.07005418,-0.001241129
4.567520619,0.9954494,-0.02003217,0.07284807,0.0001706274
4.587336540,0.9953081,-0.01986071,0.07479027,0.001235678
4.607152462,0.9952159,-0.01984472,0.07598937,0.002189939
4.626967430,0.9951496,-0.01980115,0.07683576,0.003034414
4.646783352,0.9951127,-0.01977227,0.0772898,0.003716531
4.666599274,0.9951033,-0.01967251,0.07740778,0.004280963
4.686415196,0.9951193,-0.01969075,0.07716212,0.004843434
4.706230641,0.9951458,-0.01959297,0.07681106,0.00535649
4.726046562,0.9951512,-0.01954864,0.07672501,0.005730653
4.745862484,0.9951089,-0.01946601,0.07728259,0.005866395
4.765678406,0.9950091,-0.0193115,0.07860121,0.005790959
4.785493851,0.9948525,-0.0190885,0.08063424,0.005470302
4.805309773,0.9946208,-0.01890835,0.08352349,0.004841123
4.827602864,0.9942942,-0.01851387,0.08745914,0.003857337
4.847418785,0.9939919,-0.01828828,0.09091546,0.002764719
4.867234707,0.9937366,-0.01811783,0.09372649,0.001554709
4.887050152,0.9935635,-0.01804506,0.09556858,0.0004054231
4.906866074,0.993489,-0.0180267,0.09634281,-0.00056825
4.926681996,0.9934956,-0.01789148,0.09629095,-0.00139697
4.946497917,0.9935651,-0.01778889,0.0955753,-0.002217646
4.966313839,0.9936607,-0.01765983,0.09457856,-0.003030909
4.986129284,0.9937493,-0.01775789,0.0935991,-0.003721951
5.005945206,0.9938108,-0.01782195,0.09291096,-0.004216336
5.025761127,0.9938376,-0.01781032,0.09260584,-0.00464225
5.045577049,0.9938231,-0.01765294,0.09276451,-0.005155514
5.065392494,0.9937465,-0.01746151,0.09358903,-0.005640007
5.085208416,0.9936038,-0.01739875,0.09508514,-0.005955974
5.107501030,0.9933714,-0.0175053,0.09746151,-0.005987319
5.127316952,0.9931026,-0.01764168,0.100156,-0.005690875
5.147132397,0.9927849,-0.01767255,0.1032806,-0.005166366
5.166948319,0.9924092,-0.01772632,0.1068494,-0.004525666
5.186764240,0.9919907,-0.01784543,0.1106796,-0.003712954
5.206580162,0.9915535,-0.01787961,0.1145516,-0.002764795
5.226395607,0.9911076,-0.01788964,0.118363,-0.001842237
5.246211529,0.9906768,-0.01787817,0.1219292,-0.0009518614
5.266027451,0.9902514,-0.01788224,0.1253399,-6.172856E-05
5.285843372,0.9898586,-0.01769627,0.1284294,0.0007568111
5.305659294,0.9894903,-0.01745721,0.1312627,0.001397152
5.325474739,0.9891796,-0.01720464,0.1336106,0.001945232
5.345290661,0.9889886,-0.01695374,0.1350386,0.002523405
5.367583752,0.9888933,-0.01672834,0.135751,0.003084935
5.387399674,0.9888347,-0.01650604,0.1361964,0.003412844
5.407215595,0.9888025,-0.01617793,0.1364628,0.003658471
5.427031040,0.9888056,-0.01596315,0.1364604,0.003856698
5.446846962,0.9888229,-0.01581544,0.1363465,0.004065192
5.466662884,0.9888462,-0.01571677,0.1361813,0.004311096
5.486478806,0.9888654,-0.01568984,0.1360359,0.004575849
5.506294727,0.9892652,-0.01602739,0.1330502,0.004769861
5.526110172,0.9893464,-0.01574692,0.1324783,0.00477464
5.545926094,0.9893433,-0.01536613,0.1325465,0.004755537
5.565742016,0.9892872,-0.01576067,0.1329313,0.004398753
5.585557938,0.9892282,-0.01592346,0.1333477,0.004478588
5.605373383,0.9892133,-0.01595425,0.1334484,0.004675596
5.625189304,0.989217,-0.01605129,0.1334091,0.004650243
