Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.800053597,0.4426338,0.1220172,-0.2209152,0.004889836,-0.002472006,1.000851,-29.17522,9.712027,-25.26382,1003.682
0.819869042,0.1364664,0.1220172,-0.1597527,0.004391521,-3.872858E-05,1.001348,-29.47825,9.342012,-25.25618,1003.682
0.839684963,0.1976999,-0.05952091,-0.2820776,0.005823767,0.002394071,0.9974918,-29.47825,9.342012,-25.25618,1003.679
0.859500408,0.1976999,0.2430426,-0.1597527,0.005815569,0.002388212,0.9950784,-29.47672,9.357649,-24.43281,1003.679
0.879315853,0.2589334,0.3035553,-0.3432401,0.001472413,-0.002498998,0.9970078,-29.47672,9.357649,-24.43281,1003.678
0.899131298,0.2589334,0.0009917939,-0.1597527,0.004380643,0.003375602,1.00378,-29.47672,9.357649,-24.43281,1003.678
0.918947220,0.07523298,0.0615045,-0.2209152,0.005820488,0.002391727,0.9965264,-29.4833,9.715925,-24.88264,1003.677
0.938762665,0.0139995,0.0615045,-0.1597527,0.000970819,-6.806455E-05,0.9965403,-29.4833,9.715925,-24.88264,1003.677
0.958578110,0.1976999,0.3035553,-0.3432401,-0.0004788854,-0.0005578524,0.9984766,-28.80397,9.723227,-24.88519,1003.676
0.978394032,0.1976999,0.1220172,-0.2820776,0.002909047,0.0009146803,0.9960521,-28.80397,9.723227,-24.88519,1003.676
0.998209000,0.0139995,0.0615045,-0.2209152,0.003424289,-0.002484244,0.9989278,-28.80397,9.723227,-24.88519,1003.675
1.018024921,0.1364664,0.2430426,-0.2820776,0.006307857,-0.001027117,0.9911968,-28.79823,9.356531,-24.87871,1003.675
1.040317535,0.2589334,0.1220172,-0.2209152,0.001957703,0.00092488,1.002332,-28.79823,9.356531,-24.87871,1003.676
1.060133457,0.0139995,0.0009917939,-0.2209152,0.003419925,-0.001998491,0.9984478,-29.47825,9.342012,-25.25618,1003.676
1.079948425,0.07523298,0.0615045,-0.2209152,0.002930339,-0.0005367186,0.999906,-29.47825,9.342012,-25.25618,1003.678
1.099764347,0.07523298,0.3035553,-0.2209152,0.007810029,-0.0004998322,1.004706,-29.47825,9.342012,-25.25618,1003.678
1.119580269,0.2589334,0.1220172,-0.2209152,-0.001940599,-7.84786E-05,0.998487,-29.47896,9.334795,-25.6362,1003.675
1.139395237,0.0139995,0.3035553,-0.2209152,0.001974631,-4.076655E-05,1.005706,-29.47896,9.334795,-25.6362,1003.675
1.159211159,0.1364664,0.2430426,-0.3432401,0.00292706,-0.0005390625,0.9989405,-29.85454,9.704723,-25.26127,1003.676
1.179027081,0.2589334,0.3035553,-0.09859026,0.002940708,-0.001507053,1.001349,-29.85454,9.704723,-25.26127,1003.676
1.198842049,0.1976999,0.1220172,-0.1597527,0.004382283,0.003376774,1.004262,-29.85454,9.704723,-25.26127,1003.677
1.218657970,0.1976999,-0.1200336,-0.2820776,-0.0004548682,-0.002496176,1.002328,-29.47825,9.342012,-25.25618,1003.677
1.238473415,0.1976999,-0.1200336,-0.2820776,0.008293079,-0.0004996588,1.003738,-29.47825,9.342012,-25.25618,1003.678
1.258289337,0.1364664,0.0615045,-0.1597527,0.004860923,0.000929435,0.9979722,-29.48905,10.08262,-24.88912,1003.678
1.278104782,0.1976999,0.1220172,-0.2209152,0.003403021,0.0004337882,0.997495,-29.48905,10.08262,-24.88912,1003.677
1.300396919,0.3201669,-0.1200336,-0.2820776,0.00388062,0.00140781,0.996532,-29.48905,10.08262,-24.88912,1003.677
1.320212841,0.07523298,0.1825299,-0.2820776,0.003903021,0.0009349475,1.002322,-29.47754,9.34923,-24.87616,1003.676
1.340028763,0.1364664,0.3035553,-0.1597527,0.004844018,0.003361714,0.9970194,-29.47754,9.34923,-24.87616,1003.676
1.359843731,0.1364664,0.1220172,-0.2209152,0.0005068902,-0.0005434442,1.002333,-29.85454,9.704723,-25.26127,1003.677
1.379659653,0.3201669,0.1825299,-0.1597527,0.0004981149,-0.002505204,0.9965304,-29.85454,9.704723,-25.26127,1003.677
1.399475575,0.2589334,0.1825299,-0.09859026,0.00291997,0.0004336147,0.998463,-29.85454,9.704723,-25.26127,1003.674
1.419291020,0.3814003,0.0009917939,-0.2820776,0.005343996,0.002396241,0.9994251,-29.4833,9.715925,-24.88264,1003.674
1.439106464,0.3814003,0.2430426,-0.1597527,0.001879602,0.004291167,0.9849734,-29.4833,9.715925,-24.88264,1003.677
1.458922386,-0.2921678,0.0615045,-0.1597527,0.000888817,-0.001593286,0.9699857,-29.4833,9.715925,-24.88264,1003.677
1.478737831,0.1976999,0.1220172,-0.1597527,4.951912E-05,-0.001014137,1.010056,-29.4833,9.715925,-24.88264,1003.676
1.498553276,0.3201669,0.0009917939,-0.2209152,0.00584395,-3.586477E-05,0.9994099,-29.4833,9.715925,-24.88264,1003.676
1.518369198,0.2589334,0.3035553,-0.09859026,0.005343442,0.001906973,0.9984573,-28.43414,9.719992,-25.26659,1003.675
1.538184643,0.2589334,0.2430426,-0.2209152,0.00390406,-0.002486414,0.9969946,-28.43414,9.719992,-25.26659,1003.675
1.560477257,0.2589334,0.0615045,-0.03742781,0.00243311,0.001408462,0.9999188,-29.47754,9.34923,-24.87616,1003.672
1.580293179,0.3201669,0.0615045,-0.2209152,0.005376188,-0.001002857,1.003269,-29.47754,9.34923,-24.87616,1003.672
1.600108147,0.2589334,0.0615045,-0.1597527,0.000979017,-6.22056E-05,0.9989536,-29.47754,9.34923,-24.87616,1003.671
1.619924069,0.1976999,0.1825299,-0.1597527,0.004871246,-0.002974163,0.9945734,-29.47825,9.342012,-25.25618,1003.671
1.639739990,0.2589334,0.2430426,0.02373465,0.004391521,-3.872858E-05,1.001348,-29.47825,9.342012,-25.25618,1003.672
1.659555435,0.1976999,0.1220172,-0.2209152,0.004868013,-4.324224E-05,0.9984499,-29.47825,9.342012,-25.25618,1003.672
1.679370880,0.1364664,0.1825299,-0.09859026,1.234002E-05,-0.002018453,0.997501,-29.47754,9.34923,-24.87616,1003.671
1.699186802,0.1364664,0.1825299,-0.1597527,0.005370161,-0.001984908,0.9998853,-29.47754,9.34923,-24.87616,1003.671
1.719002247,0.1976999,0.1825299,-0.2209152,0.004874571,-3.855512E-05,1.000381,-29.47672,9.357649,-24.43281,1003.67
1.738817692,0.07523298,0.0009917939,-0.09859026,0.0009610045,0.001391537,0.9960653,-29.47672,9.357649,-24.43281,1003.67
1.758633137,0.07523298,-0.05952091,-0.2209152,0.003865333,0.002374629,0.993641,-29.47672,9.357649,-24.43281,1003.667
1.778449059,0.1976999,0.2430426,-0.1597527,0.005362009,0.0009424981,1.002314,-28.80468,9.716009,-25.26521,1003.667
1.798264981,0.1364664,-0.1200336,-0.3432401,0.002441839,0.0004369568,1.000879,-28.80468,9.716009,-25.26521,1003.668
1.818079949,0.1976999,0.1825299,-0.2209152,0.0009708647,0.0028652,1.001382,-29.17522,9.712027,-25.26382,1003.668
1.840372563,0.1976999,0.1825299,-0.2209152,-0.001428104,-0.004457111,0.9989443,-29.17522,9.712027,-25.26382,1003.667
1.860188484,0.1976999,0.0615045,-0.09859026,0.001465924,0.001896212,1.00234,-29.17522,9.712027,-25.26382,1003.667
1.880004406,0.1364664,0.0615045,-0.1597527,0.005357621,-3.838167E-05,0.9994125,-29.47754,9.34923,-24.87616,1003.666
1.899819851,0.1976999,0.0615045,-0.3432401,0.004856581,0.00288182,0.999913,-29.47754,9.34923,-24.87616,1003.666
1.919635296,0.1364664,0.0009917939,-0.1597527,0.01119741,0.0004834321,1.001314,-29.47754,9.34923,-24.87616,1003.665
1.939450741,0.0139995,0.0009917939,-0.03742781,0.001930361,-7.240474E-05,0.9926736,-29.47754,9.34923,-24.87616,1003.665
1.959266663,-0.04723396,0.0009917939,-0.03742781,0.008251026,0.001425775,0.9945774,-29.47754,9.34923,-24.87616,1003.666
1.979082584,0.1364664,0.1220172,-0.3432401,0.006343374,-0.001490606,1.000848,-29.16876,9.352549,-24.87732,1003.666
1.998897552,0.07523298,0.0615045,-0.1597527,0.007291993,-0.001013881,0.9945701,-29.16876,9.352549,-24.87732,1003.661
2.018713474,0.1976999,0.3035553,-0.1597527,0.0004670313,0.00187243,0.9946223,-29.17451,9.719244,-24.8838,1003.661
2.038529396,0.1976999,0.1220172,-0.1597527,0.00632423,-0.002482032,0.9936026,-29.17451,9.719244,-24.8838,1003.662
2.058345318,0.07523298,0.1220172,-0.1597527,0.004396971,-0.001012578,1.001343,-29.17451,9.719244,-24.8838,1003.662
2.078160286,0.1976999,0.0615045,-0.1597527,0.003889327,-0.001030328,0.9950714,-29.17451,9.719244,-24.8838,1003.661
2.100453377,0.07523298,0.364068,-0.09859026,0.003872468,0.004335216,0.9989604,-29.17451,9.719244,-24.8838,1003.661
2.120268345,0.07523298,0.2430426,-0.09859026,0.005364156,-0.001500327,0.9989223,-29.47825,9.342012,-25.25618,1003.659
2.140084267,0.1976999,0.2430426,-0.09859026,0.001459896,0.0009141603,0.998956,-29.47825,9.342012,-25.25618,1003.659
2.159900188,-0.04723396,0.2430426,-0.2820776,0.00633737,-0.001006025,0.999885,-29.47825,9.342012,-25.25618,1003.66
2.179716110,0.0139995,0.0615045,-0.09859026,0.00144133,0.001878635,0.9950998,-29.47825,9.342012,-25.25618,1003.66
2.199531078,0.1364664,0.0615045,-0.2820776,-0.0004428371,-0.001998706,1.006674,-29.47825,9.342012,-25.25618,1003.661
2.219347000,-0.04723396,0.1220172,-0.09859026,0.004392075,0.0004505396,1.002316,-29.17522,9.712027,-25.26382,1003.661
2.239162922,0.1976999,0.0009917939,-0.09859026,0.00438935,0.0009374644,1.002319,-29.17522,9.712027,-25.26382,1003.662
2.258978367,0.07523298,0.0009917939,-0.2209152,0.006303583,0.005325165,1.0004,-29.17522,9.712027,-25.26382,1003.662
2.278793812,0.07523298,0.1220172,-0.1597527,0.004399673,-0.002966134,0.99892,-29.4833,9.715925,-24.88264,1003.658
2.298609734,0.07523298,-0.1200336,-0.2820776,0.00486254,-0.0005360257,0.996034,-29.4833,9.715925,-24.88264,1003.658
2.318425179,0.07523298,-0.05952091,-0.3432401,-0.0004685163,-0.001528186,0.9999195,-29.84233,8.97855,-24.8683,1003.659
2.338241100,0.1976999,0.0615045,-0.09859026,0.004864734,-4.558568E-05,0.9974846,-29.84233,8.97855,-24.8683,1003.659
2.358056545,-0.04723396,0.0009917939,-0.4044026,0.003914429,-0.003456747,0.9984376,-29.84233,8.97855,-24.8683,1003.658
2.380349636,0.07523298,0.0009917939,-0.03742781,0.005848361,0.002411647,1.004732,-29.18097,10.07872,-25.2703,1003.658
