Time (s),Altitude (m)
0.250167847,87.78329
1.248362064,87.73559
2.249036789,87.89546
3.249713898,88.09361
4.250392914,88.20107
5.248597145,88.04642
6.249279976,87.9872
7.249966145,88.05743
8.248175621,87.99925
9.248865128,87.98981
10.249555588,87.91748
11.250247955,87.77962
12.248465538,87.79115
13.249161720,87.78905
14.249859333,87.84828
15.250559330,87.99558
16.248783112,87.96622
17.249486446,87.99977
18.250190735,88.05062
19.248419762,88.17014
20.249127865,87.94893
21.249837399,87.8682
22.248071194,87.8357
23.248784542,87.94316
24.249498844,88.15965
25.250215054,88.25034
26.248456001,88.22518
27.249175072,88.43066
28.249896526,88.22099
29.248142242,88.22308
30.248866081,88.30695
31.249592781,88.39397
32.250319958,88.2907
33.248572350,88.42595
34.249302864,88.37563
35.250035286,88.38297
36.248292446,88.37353
37.249028206,88.29018
38.249765873,88.49095
39.248027802,88.51717
