Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.98174,0.001041273,-0.1510601,-0.010198,0.9914165,-0.05964735,0.150719,0.0605039,0.9799331
0.007430553,0.9817457,0.001089712,-0.1510247,-0.01024542,0.991416,-0.05965193,0.1506807,0.06051556,0.9799386
0.027246475,0.9817647,0.001225764,-0.1508984,-0.01040842,0.991401,-0.05987046,0.150544,0.06075611,0.9799445
0.047062397,0.9817213,0.001294634,-0.1511777,-0.01054906,0.991378,-0.06022034,0.1508148,0.06112361,0.9798798
0.066877365,0.9817123,0.001347528,-0.1512393,-0.01061414,0.9913746,-0.06027117,0.1508724,0.06118381,0.9798676
0.086693287,0.981721,0.001374857,-0.1511815,-0.01063659,0.991375,-0.06026136,0.1508131,0.06117743,0.9798771
0.106509209,0.9817446,0.001401643,-0.1510298,-0.01063388,0.9913833,-0.06012936,0.1506615,0.06104634,0.9799089
0.126324177,0.9817653,0.001470786,-0.1508914,-0.01066225,0.9913954,-0.05991522,0.1505214,0.06083876,0.9799427
0.146140099,0.9817604,0.001553323,-0.1509228,-0.01074232,0.9913968,-0.05988104,0.150548,0.06081713,0.9799401
0.165956020,0.9817669,0.001670261,-0.1508819,-0.01085707,0.9913962,-0.05987595,0.1505001,0.0608294,0.979947
0.185771942,0.9817562,0.001775775,-0.1509493,-0.01099039,0.9913856,-0.06002334,0.1505592,0.06099538,0.9799275
0.205586910,0.9817385,0.00181476,-0.1510647,-0.01106177,0.9913751,-0.06018508,0.1506701,0.06116628,0.9798999
0.225402832,0.9817238,0.001832017,-0.1511573,-0.01109956,0.9913686,-0.06027998,0.1507603,0.06126598,0.9798795
0.247694969,0.9817349,0.001856061,-0.1510867,-0.01111008,0.9913723,-0.06021918,0.1506891,0.06120735,0.9798943
0.267510891,0.9817507,0.00188254,-0.1509825,-0.01110329,0.991383,-0.06004302,0.1505854,0.06103199,0.9799209
0.287326813,0.9817622,0.001936994,-0.1509077,-0.01114295,0.9913869,-0.05997348,0.1505082,0.0609691,0.9799368
0.307141781,0.9817669,0.002061924,-0.1508739,-0.01126957,0.9913843,-0.05999038,0.1504665,0.0610049,0.9799408
0.326957703,0.9817733,0.002221356,-0.150829,-0.01144708,0.9913744,-0.06011679,0.1504104,0.0611566,0.9799398
0.346773625,0.9817898,0.002401946,-0.1507204,-0.01168156,0.9913487,-0.06050256,0.1502862,0.06157312,0.9799331
0.366588593,0.9818012,0.002613589,-0.1506421,-0.01194995,0.9913216,-0.06089305,0.1501901,0.06199947,0.9799209
0.386404514,0.9818107,0.002783603,-0.150576,-0.01219063,0.991289,-0.06137272,0.1501076,0.06250978,0.9799011
0.406220436,0.9818093,0.002945912,-0.1505829,-0.01239436,0.9912707,-0.06163095,0.1501009,0.06279583,0.9798841
0.426035881,0.9818243,0.003059151,-0.1504817,-0.01253936,0.9912536,-0.06187478,0.1499896,0.06305844,0.9798841
0.445851326,0.9818389,0.003143224,-0.1503847,-0.01263366,0.9912461,-0.06197783,0.149886,0.06317421,0.9798926
0.465667248,0.9818392,0.003201405,-0.1503841,-0.01270921,0.9912386,-0.0620884,0.1498803,0.0632949,0.9798861
0.485482693,0.9818331,0.003231563,-0.1504233,-0.01274535,0.9912368,-0.06210899,0.1499172,0.06332082,0.9798787
0.505298615,0.9818385,0.00326339,-0.1503853,-0.01276259,0.9912414,-0.06202755,0.1498784,0.06324279,0.9798894
0.527591229,0.9818464,0.003273844,-0.1503325,-0.01276489,0.9912432,-0.0619959,0.1498253,0.06321167,0.9798993
0.547406197,0.9818493,0.003337528,-0.150312,-0.01282259,0.9912446,-0.06196136,0.1498012,0.06318615,0.9799046
0.567222119,0.98185,0.003400077,-0.1503084,-0.01289217,0.9912413,-0.06200509,0.1497931,0.06323985,0.9799027
0.587038040,0.9818456,0.003464406,-0.1503332,-0.01296583,0.9912371,-0.06205174,0.1498131,0.06329715,0.9798957
0.606853485,0.9818444,0.003522267,-0.1503404,-0.01303042,0.991234,-0.0620892,0.149816,0.06334394,0.9798923
0.626668930,0.9818377,0.003565737,-0.1503823,-0.01308159,0.9912313,-0.06211914,0.1498547,0.0633814,0.9798838
0.646484852,0.9818362,0.003622232,-0.1503915,-0.01314859,0.9912267,-0.06218059,0.1498594,0.06345227,0.9798787
0.666300297,0.98184,0.003714129,-0.1503646,-0.01324872,0.9912217,-0.0622404,0.1498259,0.06352638,0.979879
0.686116219,0.9818507,0.003811408,-0.1502919,-0.01335933,0.9912131,-0.06235297,0.1497455,0.06365405,0.979883
0.705931664,0.9818573,0.003867909,-0.1502475,-0.01343426,0.9912036,-0.0624896,0.1496957,0.06380022,0.9798812
0.725747109,0.9818587,0.003899496,-0.1502398,-0.0134803,0.9911972,-0.06258587,0.1496846,0.0639023,0.9798765
0.745563030,0.9818624,0.003943155,-0.1502102,-0.01352016,0.991197,-0.06257091,0.1496524,0.06389339,0.9798814
0.765378952,0.9818591,0.003979913,-0.1502322,-0.01356626,0.9911935,-0.06262054,0.1496713,0.06394947,0.9798751
0.787671566,0.9818639,0.0040237,-0.150201,-0.01361011,0.9911923,-0.06263171,0.1496372,0.06396699,0.9798793
0.807487011,0.981865,0.004039485,-0.1501937,-0.01362243,0.9911935,-0.0626111,0.1496292,0.06394843,0.9798818
0.827302456,0.9818664,0.004076695,-0.150181,-0.01365715,0.9911936,-0.06259786,0.1496143,0.06394051,0.9798843
0.847117901,0.9818714,0.004086145,-0.1501492,-0.01366204,0.9911947,-0.062581,0.1495822,0.06392446,0.9798903
0.866933823,0.9818793,0.004104469,-0.1500978,-0.01367022,0.9911976,-0.06253541,0.1495303,0.06388041,0.9799013
0.886749745,0.9818851,0.004131544,-0.1500573,-0.01369151,0.9911985,-0.06251316,0.1494884,0.06386143,0.9799086
0.906564713,0.9818903,0.004174714,-0.150022,-0.01373891,0.9911953,-0.06255347,0.1494499,0.06390827,0.9799114
0.926380635,0.9818938,0.004225859,-0.1499974,-0.01379676,0.9911913,-0.06260509,0.1494213,0.06396789,0.9799119
0.946196556,0.9819018,0.004284342,-0.1499443,-0.01385425,0.9911898,-0.06261784,0.1493643,0.06398889,0.9799194
0.966012478,0.98191,0.004336318,-0.1498906,-0.01390859,0.991187,-0.06265339,0.1493069,0.06403197,0.9799255
