Time (s),Altitude (m)
0.165956020,14.82224
1.166645527,14.75716
2.167337418,14.79412
3.165554524,14.93313
4.166250706,14.91595
5.166948319,14.90033
6.167647362,14.87951
7.165871620,14.99926
8.166574001,15.11796
9.167277813,15.21689
10.165505409,15.22834
11.166212082,15.308
12.166919708,15.21168
13.167629242,15.15441
14.165862083,15.16274
15.166574001,15.2299
16.167287350,15.25385
17.165524483,15.00498
18.166240215,14.75768
19.166956902,14.71759
20.167674542,14.70405
21.165916920,14.77434
22.166636944,14.78371
23.167358875,14.88315
24.165604115,14.84983
25.166327953,14.7556
26.167052269,14.63325
27.165300846,14.64678
28.166028023,14.58847
29.166755676,14.59628
30.167484760,14.68115
31.165737629,14.82536
32.166468620,14.85348
33.167200565,14.78111
34.165456295,14.80037
35.166190147,14.79881
36.166925430,14.79464
37.165183544,14.85139
38.165920258,14.84983
39.166657925,14.82744
40.167396545,14.77954
41.165658474,14.7785
42.166399002,14.85556
43.167140007,14.92637
44.165405273,14.87274
45.166147709,14.7556
46.166891575,14.86181
47.165158749,15.10495
48.165904045,15.00238
49.166650295,14.96229
50.167397499,14.82953
51.165668011,14.83994
52.166416645,14.84462
53.167165756,14.87534
54.165439129,14.99093
55.166189194,15.03674
56.166941166,15.15857
57.165216446,15.06017
58.165969372,15.06538
59.166723251,14.99405
60.165000439,15.04872
61.165756226,15.10859
62.166512013,15.12734
63.167268753,15.08516
64.165549278,15.13358
65.166306973,15.17367
66.167066097,15.14035
67.165348053,15.16638
68.166108608,15.02997
69.166869164,15.16378
70.165153503,15.34966
71.165915966,15.51731
72.166678429,15.49909
73.164965153,15.43036
74.165729046,15.50534
75.166493416,15.46316
76.164782047,15.48867
77.165547848,15.60426
78.166315079,15.56417
79.167081833,15.56625
80.165372372,15.61728
81.166141033,15.64331
82.166910172,15.62509
83.165202618,15.51939
84.165972710,15.52668
85.166743755,15.65685
86.165038109,15.55896
87.165810108,15.55844
88.166582584,15.64748
89.164878845,15.5272
90.165652752,15.47618
91.166426659,15.65008
92.164724350,15.69903
93.165500164,15.66883
94.166275978,15.66987
95.167052746,15.74016
96.165352345,15.79171
97.166130543,15.77505
98.166908741,15.91459
99.165210724,15.83857
100.165989876,16.00103
101.166769505,15.95052
102.165072918,16.02498
103.165853977,15.99217
104.166635037,16.06924
105.164940357,16.13016
106.165722847,16.19004
107.166505337,16.11037
