Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.165956020,26.098,28.892
1.166645527,26.164,28.906
2.167337418,26.21,28.914
3.168032169,26.338,28.922
4.166250706,26.402,28.932
5.166948319,26.428,28.944
6.167647362,26.516,28.954
7.165871620,26.554,28.964
8.166574001,26.558,28.974
9.167277813,26.638,28.984
10.165505409,26.73,28.996
11.166212082,26.784,29.004
12.166919708,26.83,29.014
13.167629242,26.862,29.024
14.165862083,26.902,29.034
15.166574001,26.934,29.042
16.167287350,26.99,29.05
17.165524483,27.072,29.062
18.166240215,27.104,29.072
19.166956902,27.118,29.082
20.167674542,27.204,29.09
21.165916920,27.22,29.096
22.166636944,27.236,29.106
23.167358875,27.342,29.112
24.165604115,27.35,29.122
25.166327953,27.396,29.13
26.167052269,27.416,29.138
27.165300846,27.468,29.146
28.166028023,27.49,29.154
29.166755676,27.536,29.16
30.167484760,27.572,29.168
31.165737629,27.598,29.174
32.166468620,27.62,29.182
33.167200565,27.688,29.188
34.165456295,27.7,29.196
35.166190147,27.714,29.202
36.166925430,27.77,29.208
37.167660236,27.824,29.216
38.165920258,27.852,29.222
39.166657925,27.872,29.23
40.167396545,27.932,29.236
41.165658474,27.962,29.242
42.166399002,27.98,29.248
43.167140007,27.996,29.254
44.165405273,28.006,29.26
45.166147709,28.038,29.268
46.166891575,28.102,29.272
47.165158749,28.162,29.278
48.165904045,28.15,29.284
49.166650295,28.208,29.29
50.167397499,28.234,29.296
51.165668011,28.248,29.302
52.166416645,28.278,29.306
53.167165756,28.33,29.312
54.165439129,28.366,29.318
55.166189194,28.312,29.324
56.166941166,28.398,29.33
57.165216446,28.428,29.334
58.165969372,28.452,29.34
59.166723251,28.41,29.346
60.167478085,28.514,29.352
61.165756226,28.55,29.356
62.166512013,28.566,29.36
63.167268753,28.618,29.366
64.165549278,28.618,29.37
65.166306973,28.656,29.376
66.167066097,28.624,29.382
67.165348053,28.696,29.386
68.166108608,28.71,29.392
69.166869164,28.748,29.396
70.165153503,28.722,29.4
71.165915966,28.724,29.404
72.166678429,28.826,29.41
73.164965153,28.794,29.416
74.165729046,28.84,29.418
75.166493416,28.872,29.424
76.167259216,28.888,29.428
77.165547848,28.914,29.432
78.166315079,28.932,29.436
79.167081833,28.966,29.44
80.165372372,28.956,29.444
81.166141033,29.024,29.448
82.166910172,29.02,29.454
83.165202618,29.048,29.458
84.165972710,29.066,29.464
85.166743755,29.134,29.466
86.165038109,29.118,29.47
87.165810108,29.134,29.474
88.166582584,29.184,29.478
89.164878845,29.17,29.484
90.165652752,29.198,29.486
91.166426659,29.19,29.49
92.164724350,29.282,29.496
93.165500164,29.23,29.498
94.166275978,29.248,29.502
95.167052746,29.28,29.508
96.165352345,29.28,29.51
97.166130543,29.346,29.514
98.166908741,29.35,29.518
99.165210724,29.386,29.522
100.165989876,29.452,29.526
101.166769505,29.404,29.53
102.165072918,29.424,29.534
103.165853977,29.458,29.538
104.166635037,29.478,29.54
105.164940357,29.494,29.544
106.165722847,29.492,29.548
107.166505337,29.574,29.552
