Time (s),Altitude (m)
0.250181198,29.17015
1.248432159,29.06901
2.249162674,28.96475
3.249895096,28.96475
4.248152733,29.04712
5.248889923,29.4011
6.249629021,29.36096
7.250369549,29.40579
8.248634815,29.49755
9.249379158,29.47826
10.250124931,29.35991
11.248395443,29.34636
12.249145508,29.25721
13.249896050,29.21551
14.248171330,29.16389
15.248925686,29.09299
16.249680996,29.08882
17.250437737,28.97674
18.248719215,29.06276
19.249478817,29.22228
20.250240803,29.14304
21.248526096,29.13626
22.249290466,29.2129
23.250056267,29.4084
24.248346329,29.35783
25.249114513,29.13939
26.249884605,29.08309
27.248178482,29.28276
28.248950958,29.88179
29.249724388,30.09555
30.248023033,29.67637
31.248799801,29.39485
32.249577522,29.65761
33.247879982,30.01839
34.248661041,30.14665
35.249443054,29.76553
36.250226975,29.54082
37.248534679,29.66855
38.249320984,29.83435
39.250108719,29.9334
40.248420715,29.66334
41.249211788,29.50016
42.250003815,29.7942
43.248320103,29.81506
44.249115944,29.51423
45.249912739,29.57419
46.248233795,29.59035
47.249033451,29.54395
