Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.186398029,99.35156,1263.1875,4.1075,253.4375,0
1.240904808,99.35156,880.6875,4.103125,259.375,0
2.119928837,99.33984,715.875,4.10375,274.375,0
3.174820423,99.32813,587.53125,4.100625,265.3125,0
4.229610443,99.32813,506.71875,4.101875,266.875,0
5.108447552,99.31641,456,4.1,275,0
6.163496494,99.30078,411.28125,4.10375,251.25,0
7.218065262,99.30078,384.1875,4.101875,268.4375,0
8.097463608,99.28906,360.65625,4.1025,253.4375,0
9.151934147,99.27734,335.90625,4.099375,272.5,0
10.206766129,99.27734,317.90625,4.101875,263.75,0
11.085587025,99.26563,305.625,4.1,259.0625,0
12.140434742,99.26563,293.15625,4.1,263.125,0
13.195410729,99.25391,283.03125,4.099375,261.875,0
