Time (s),X (g),Y (g),Z (g)
0.000000000,0.003195587,0.0001203498,0.00664439
0.009907722,0.001485054,-0.001045314,0.009536742
0.029723644,-0.001538345,-0.0009521255,0.005738319
0.049539566,0.0009981834,0.001101335,0.00811086
0.069354534,0.004219229,-0.001235962,0.004225327
0.089170456,0.0001374683,0.0002491174,0.00811599
0.108986378,-0.002859635,0.0006516526,0.007195864
0.128801823,0.0006202311,-0.005034643,0.008090544
0.148617268,0.004231525,1.503106E-05,0.006627128
0.168432713,-0.001701475,0.0009007491,0.00862333
0.188248634,0.002956598,-0.0007727032,0.008558578
0.210541248,-0.0006326587,5.286678E-05,0.004771437
0.230357170,0.003141349,0.0005681614,0.007603553
0.250172615,0.00378545,-0.0008098672,0.001356579
0.269988537,0.001102898,0.001200597,0.01002845
0.289803982,0.0002385565,-0.002689122,0.004269321
0.309619427,0.0003380068,0.002534808,0.0004546006
0.329435349,-0.000803051,0.0007538813,0.006695081
0.349251270,0.001087424,-0.001906043,0.004263297
0.369067192,-0.001541099,-0.0003123764,0.0071793
0.388882160,-0.005461733,-0.0003662693,0.005310014
0.408698082,0.003162849,-0.00252707,0.006631746
0.428514004,0.003114332,0.0008039321,0.006167753
0.448329449,-0.002724891,-0.002654004,0.001910372
0.470622063,0.001557794,0.001444553,0.004752474
0.490437985,0.002752392,0.005488289,0.002837792
0.510253906,0.003501165,-0.001708688,0.005673116
0.530068874,-0.003382193,-0.00195358,0.00288049
0.549884796,0.0007368568,-0.0003490527,0.001878272
0.569700241,0.0008302653,-0.003346431,0.00761745
0.589516163,-0.004219238,-0.00461391,0.01103153
0.609332085,0.0001204853,0.00145521,0.003813623
0.629147053,-0.0006472496,-0.002505272,0.002367139
0.648962975,0.0019005,0.006130718,0.004293905
0.668778896,0.003245108,0.0009771588,0.007608834
0.688594818,-0.001031648,0.0002697039,0.005742334
0.708410263,0.002108098,0.005184911,0.01243744
0.728226185,-0.0003654246,-0.00700934,0.004261251
0.750518799,0.005227674,-0.001617884,0.01380486
0.770334721,0.002340924,-0.002063908,0.006647918
